这个 主意 好 极了 。,这个主意好极了。,zhègè zhǔyì hǎo jíle 。,This idea is great.,[sound:hsk3_grammar_sent1.mp3],:: Subj. + Adj. + 极了 ::,"Expressing degree, Emphasizing","Adjectives with ""-ji le""",https://resources.allsetlearning.com/chinese/grammar/ASGVME5V
味道 好 极了 !,味道好极了!,wèidào hǎo jíle !,It tastes great!,[sound:hsk3_grammar_sent2.mp3],:: Subj. + Adj. + 极了 ::,"Expressing degree, Emphasizing","Adjectives with ""-ji le""",https://resources.allsetlearning.com/chinese/grammar/ASGVME5V
他 的 英文 棒 极了 。,他的英文棒极了。,tā de yīngwén bàng jíle 。,His English is excellent.,[sound:hsk3_grammar_sent3.mp3],:: Subj. + Adj. + 极了 ::,"Expressing degree, Emphasizing","Adjectives with ""-ji le""",https://resources.allsetlearning.com/chinese/grammar/ASGVME5V
婚礼 热闹 极了 。,婚礼热闹极了。,hūnlǐ rènào jíle 。,The wedding was very lively.,[sound:hsk3_grammar_sent4.mp3],:: Subj. + Adj. + 极了 ::,"Expressing degree, Emphasizing","Adjectives with ""-ji le""",https://resources.allsetlearning.com/chinese/grammar/ASGVME5V
一点 声音 都 没有 ，安静 极了 。,一点声音都没有，安静极了。,yīdiǎn shēngyīn dū méiyǒu ，ānjìng jíle 。,"There was no sound at all, and it was extremely quiet.",[sound:hsk3_grammar_sent5.mp3],:: Subj. + Adj. + 极了 ::,"Expressing degree, Emphasizing","Adjectives with ""-ji le""",https://resources.allsetlearning.com/chinese/grammar/ASGVME5V
昨天 的 派对 无聊 极了 !,昨天的派对无聊极了!,zuótiān de pàidùi wúliáo jíle !,Yesterday's party was very boring!,[sound:hsk3_grammar_sent6.mp3],:: Subj. + Adj. + 极了 ::,"Expressing degree, Emphasizing","Adjectives with ""-ji le""",https://resources.allsetlearning.com/chinese/grammar/ASGVME5V
他 那么 生气 ，我们 都 害怕 极了 。,他那么生气，我们都害怕极了。,tā nàyāo shēngqì ，wǒmen dū hàipà jíle 。,He was so angry that we were all terrified.,[sound:hsk3_grammar_sent7.mp3],:: Subj. + Adj. + 极了 ::,"Expressing degree, Emphasizing","Adjectives with ""-ji le""",https://resources.allsetlearning.com/chinese/grammar/ASGVME5V
高考 那 天 ，我 紧张 极了 。,高考那天，我紧张极了。,gāokǎo nà tiān ，wǒ jǐnzhāng jíle 。,"On the day of the college entrance examination, I was extremely nervous.",[sound:hsk3_grammar_sent8.mp3],:: Subj. + Adj. + 极了 ::,"Expressing degree, Emphasizing","Adjectives with ""-ji le""",https://resources.allsetlearning.com/chinese/grammar/ASGVME5V
这 件 事 让 我们 都 尴尬 极了 。,这件事让我们都尴尬极了。,zhè jiàn shì ràng wǒmen dū gāngà jíle 。,This incident embarrassed us all.,[sound:hsk3_grammar_sent9.mp3],:: Subj. + Adj. + 极了 ::,"Expressing degree, Emphasizing","Adjectives with ""-ji le""",https://resources.allsetlearning.com/chinese/grammar/ASGVME5V
那个 男孩 讨厌 极了 !,那个男孩讨厌极了!,nàgè nánhái tǎoyàn jíle !,That boy hates it!,[sound:hsk3_grammar_sent10.mp3],:: Subj. + Adj. + 极了 ::,"Expressing degree, Emphasizing","Adjectives with ""-ji le""",https://resources.allsetlearning.com/chinese/grammar/ASGVME5V
