她 在 看 书 。,她在看书。,tā zài kàn shū 。,She is reading.,[sound:hsk1_grammar_sent1.mp3],:: Subj. + 在 + Verb + Obj. ::,"Describing actions, Indicating conditions, Referring to the present","Expressing actions in progress with ""zai""",https://resources.allsetlearning.com/chinese/grammar/ASG846EA
妈妈 在 打 电话 。,妈妈在打电话。,māmā zài dǎ diànhuà 。,Mom is calling.,[sound:hsk1_grammar_sent2.mp3],:: Subj. + 在 + Verb + Obj. ::,"Describing actions, Indicating conditions, Referring to the present","Expressing actions in progress with ""zai""",https://resources.allsetlearning.com/chinese/grammar/ASG846EA
谁 在 里面 洗澡 ？,谁在里面洗澡？,shúi zài lǐmiàn xǐzǎo ？,Who is taking a bath inside?,[sound:hsk1_grammar_sent3.mp3],:: Subj. + 在 + Verb + Obj. ::,"Describing actions, Indicating conditions, Referring to the present","Expressing actions in progress with ""zai""",https://resources.allsetlearning.com/chinese/grammar/ASG846EA
阿姨 正在 打扫 我们 的 房间 。,阿姨正在打扫我们的房间。,āyí zhèngzài dǎsǎo wǒmen de fángjiān 。,The aunt is cleaning our room.,[sound:hsk1_grammar_sent4.mp3],:: Subj. + 在 + Verb + Obj. ::,"Describing actions, Indicating conditions, Referring to the present","Expressing actions in progress with ""zai""",https://resources.allsetlearning.com/chinese/grammar/ASG846EA
昨天 晚上 七点，我们 在 吃饭 。,昨天晚上七点，我们在吃饭。,zuótiān wǎnshàng qīdiǎn，wǒmen zài chīfàn 。,"At 7 o'clock last night, we were eating.",[sound:hsk1_grammar_sent5.mp3],:: Subj. + 在 + Verb + Obj. ::,"Describing actions, Indicating conditions, Referring to the present","Expressing actions in progress with ""zai""",https://resources.allsetlearning.com/chinese/grammar/ASG846EA
我 现在 在 上班，不方便 离开 。,我现在在上班，不方便离开。,wǒ xiànzài zài shàngbān，bùfāngbiàn líkāi 。,I'm at work now and it's inconvenient to leave.,[sound:hsk1_grammar_sent6.mp3],:: Subj. + 正在 + Verb + Obj. ::,"Describing actions, Indicating conditions, Referring to the present","Expressing actions in progress with ""zai""",https://resources.allsetlearning.com/chinese/grammar/ASG846EA
我们 正在 上课，请 你 等 一会儿 。,我们正在上课，请你等一会儿。,wǒmen zhèngzài shàngkè，qǐng nǐ děng yīhùiér 。,"We are in class, please wait for a while.",[sound:hsk1_grammar_sent7.mp3],:: Subj. + 正在 + Verb + Obj. ::,"Describing actions, Indicating conditions, Referring to the present","Expressing actions in progress with ""zai""",https://resources.allsetlearning.com/chinese/grammar/ASG846EA
你 正在 开车，不 可以 玩 手机 。,你正在开车，不可以玩手机。,nǐ zhèngzài kāichē，bù kěyǐ wán shǒujī 。,You are driving and cannot play with your mobile phone.,[sound:hsk1_grammar_sent8.mp3],:: Subj. + 正在 + Verb + Obj. ::,"Describing actions, Indicating conditions, Referring to the present","Expressing actions in progress with ""zai""",https://resources.allsetlearning.com/chinese/grammar/ASG846EA
你 给 我 打 电话 的时候，我 正在 跟 朋友 打 游戏 。,你给我打电话的时候，我正在跟朋友打游戏。,nǐ gěi wǒ dǎ diànhuà deshíhòu，wǒ zhèngzài gēn péngyǒu dǎ yóuxì 。,"When you called me, I was playing games with my friends.",[sound:hsk1_grammar_sent9.mp3],:: Subj. + 正在 + Verb + Obj. ::,"Describing actions, Indicating conditions, Referring to the present","Expressing actions in progress with ""zai""",https://resources.allsetlearning.com/chinese/grammar/ASG846EA
我 没有 问题 。,我没有问题。,wǒ méiyǒu wèntí 。,I have no problem.,[sound:hsk1_grammar_sent10.mp3],:: 没 + 有 (+ Obj.) ::,"Negating, Denying and refusing","Negation of ""you"" with ""mei""",https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
我们 现在 没有 钱 。,我们现在没有钱。,wǒmen xiànzài méiyǒu qián 。,We have no money now.,[sound:hsk1_grammar_sent11.mp3],:: 没 + 有 (+ Obj.) ::,"Negating, Denying and refusing","Negation of ""you"" with ""mei""",https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
他 没有 工作 吗 ？,他没有工作吗？,tā méiyǒu gōngzuò ma ？,Is he not working?,[sound:hsk1_grammar_sent12.mp3],:: 没 + 有 (+ Obj.) ::,"Negating, Denying and refusing","Negation of ""you"" with ""mei""",https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
他们 没有 爸爸 妈妈 。,他们没有爸爸妈妈。,tāmen méiyǒu bàbà māmā 。,They don't have parents.,[sound:hsk1_grammar_sent13.mp3],:: 没 + 有 (+ Obj.) ::,"Negating, Denying and refusing","Negation of ""you"" with ""mei""",https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
我们 在 北京 没有 房子 。,我们在北京没有房子。,wǒmen zài běijīng méiyǒu fángzǐ 。,We don't have a house in Beijing.,[sound:hsk1_grammar_sent14.mp3],:: 没 + 有 (+ Obj.) ::,"Negating, Denying and refusing","Negation of ""you"" with ""mei""",https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
你 爸爸 没有 手机 吗 ？,你爸爸没有手机吗？,nǐ bàbà méiyǒu shǒujī ma ？,Does your dad have a cell phone?,[sound:hsk1_grammar_sent15.mp3],:: 没 + 有 (+ Obj.) ::,"Negating, Denying and refusing","Negation of ""you"" with ""mei""",https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
你们 在 上海 没有 朋友 吗 ？,你们在上海没有朋友吗？,nǐmen zài shànghǎi méiyǒu péngyǒu ma ？,Do you have no friends in Shanghai?,[sound:hsk1_grammar_sent16.mp3],:: 没 + 有 (+ Obj.) ::,"Negating, Denying and refusing","Negation of ""you"" with ""mei""",https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
我 的 老师 现在 没有 男朋友 。,我的老师现在没有男朋友。,wǒ de lǎoshī xiànzài méiyǒu nánpéngyǒu 。,My teacher does not have a boyfriend now.,[sound:hsk1_grammar_sent17.mp3],:: 没 + 有 (+ Obj.) ::,"Negating, Denying and refusing","Negation of ""you"" with ""mei""",https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
他们 都 没有 电脑 吗 ？,他们都没有电脑吗？,tāmen dū méiyǒu diànnǎo ma ？,Do they have no computers?,[sound:hsk1_grammar_sent18.mp3],:: 没 + 有 (+ Obj.) ::,"Negating, Denying and refusing","Negation of ""you"" with ""mei""",https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
这 个 周末 你们 都 没有 时间 吗 ？,这个周末你们都没有时间吗？,zhè gè zhōumò nǐmen dū méiyǒu shíjiān ma ？,Do you have any time this weekend?,[sound:hsk1_grammar_sent19.mp3],:: 没 + 有 (+ Obj.) ::,"Negating, Denying and refusing","Negation of ""you"" with ""mei""",https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
我 没有 车 。,我没有车。,wǒ méiyǒu chē 。,I do not have a car.,[sound:hsk1_grammar_sent20.mp3],:: 没 + 有 (+ Obj.) ::,"Negating, Denying and refusing","Negation of ""you"" with ""mei""",https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
我 没 钱 。,我没钱。,wǒ méi qián 。,I have no money.,[sound:hsk1_grammar_sent21.mp3],:: 没 + 有 (+ Obj.) ::,"Negating, Denying and refusing","Negation of ""you"" with ""mei""",https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
你 没 男朋友 吗 ？,你没男朋友吗？,nǐ méi nánpéngyǒu ma ？,Don't you have a boyfriend?,[sound:hsk1_grammar_sent22.mp3],:: 没 + 有 (+ Obj.) ::,"Negating, Denying and refusing","Negation of ""you"" with ""mei""",https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
你们 没 车 吗 ？,你们没车吗？,nǐmen méi chē ma ？,Don't you have a car?,[sound:hsk1_grammar_sent23.mp3],:: 没 + 有 (+ Obj.) ::,"Negating, Denying and refusing","Negation of ""you"" with ""mei""",https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
老板 现在 没 时间 。,老板现在没时间。,lǎobǎn xiànzài méi shíjiān 。,The boss has no time now.,[sound:hsk1_grammar_sent24.mp3],:: 没 + 有 (+ Obj.) ::,"Negating, Denying and refusing","Negation of ""you"" with ""mei""",https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
我 没 工作，我 老公 也 没 工作 。,我没工作，我老公也没工作。,wǒ méi gōngzuò，wǒ lǎogōng yě méi gōngzuò 。,"I am not working, and my husband is not working.",[sound:hsk1_grammar_sent25.mp3],:: 没 + 有 (+ Obj.) ::,"Negating, Denying and refusing","Negation of ""you"" with ""mei""",https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
他们 不 是 坏 孩子 。,他们不是坏孩子。,tāmen bù shì huài háizǐ 。,They are not bad boys.,[sound:hsk1_grammar_sent26.mp3],:: Subj. + 不 + Verb + Obj. ::,"Negating, Describing actions, Denying and refusing, Referring to habitual actions, Referring to the present, Referring to the future","Standard negation with ""bu""",https://resources.allsetlearning.com/chinese/grammar/ASGIPYFV
我们 不 喝 酒 。,我们不喝酒。,wǒmen bù hē jǐu 。,We don't drink.,[sound:hsk1_grammar_sent27.mp3],:: Subj. + 不 + Verb + Obj. ::,"Negating, Describing actions, Denying and refusing, Referring to habitual actions, Referring to the present, Referring to the future","Standard negation with ""bu""",https://resources.allsetlearning.com/chinese/grammar/ASGIPYFV
我 今天 不 想 工作 。,我今天不想工作。,wǒ jīntiān bù xiǎng gōngzuò 。,I don't want to work today.,[sound:hsk1_grammar_sent28.mp3],:: Subj. + 不 + Verb + Obj. ::,"Negating, Describing actions, Denying and refusing, Referring to habitual actions, Referring to the present, Referring to the future","Standard negation with ""bu""",https://resources.allsetlearning.com/chinese/grammar/ASGIPYFV
你 不 喜欢 我 吗 ？,你不喜欢我吗？,nǐ bù xǐhuān wǒ ma ？,Don't you like me?,[sound:hsk1_grammar_sent29.mp3],:: Subj. + 不 + Verb + Obj. ::,"Negating, Describing actions, Denying and refusing, Referring to habitual actions, Referring to the present, Referring to the future","Standard negation with ""bu""",https://resources.allsetlearning.com/chinese/grammar/ASGIPYFV
为什么 你 不 喜欢 喝 咖啡 ？,为什么你不喜欢喝咖啡？,wèishíyāo nǐ bù xǐhuān hē kāfēi ？,Why don't you like coffee?,[sound:hsk1_grammar_sent30.mp3],:: Subj. + 不 + Verb + Obj. ::,"Negating, Describing actions, Denying and refusing, Referring to habitual actions, Referring to the present, Referring to the future","Standard negation with ""bu""",https://resources.allsetlearning.com/chinese/grammar/ASGIPYFV
我 没有时间 。,我没有时间。,wǒ méiyǒushíjiān 。,I do not have time.,[sound:hsk1_grammar_sent31.mp3],:: Subj. + 不 + Verb + Obj. ::,"Negating, Describing actions, Denying and refusing, Referring to habitual actions, Referring to the present, Referring to the future","Standard negation with ""bu""",https://resources.allsetlearning.com/chinese/grammar/ASGIPYFV
我 不 饿 。,我不饿。,wǒ bù è 。,I'm not hungry.,[sound:hsk1_grammar_sent32.mp3],:: Subj. + 不 + Adj. ::,"Negating, Describing actions, Denying and refusing, Referring to habitual actions, Referring to the present, Referring to the future","Standard negation with ""bu""",https://resources.allsetlearning.com/chinese/grammar/ASGIPYFV
这 个 不 贵 。,这个不贵。,zhè gè bù gùi 。,This is not expensive.,[sound:hsk1_grammar_sent33.mp3],:: Subj. + 不 + Adj. ::,"Negating, Describing actions, Denying and refusing, Referring to habitual actions, Referring to the present, Referring to the future","Standard negation with ""bu""",https://resources.allsetlearning.com/chinese/grammar/ASGIPYFV
公司 不 大 。,公司不大。,gōngsī bù dà 。,The company is not big.,[sound:hsk1_grammar_sent34.mp3],:: Subj. + 不 + Adj. ::,"Negating, Describing actions, Denying and refusing, Referring to habitual actions, Referring to the present, Referring to the future","Standard negation with ""bu""",https://resources.allsetlearning.com/chinese/grammar/ASGIPYFV
老板 今天 很 不 高兴 。,老板今天很不高兴。,lǎobǎn jīntiān hěn bù gāoxīng 。,The boss is very upset today.,[sound:hsk1_grammar_sent35.mp3],:: Subj. + 不 + Adj. ::,"Negating, Describing actions, Denying and refusing, Referring to habitual actions, Referring to the present, Referring to the future","Standard negation with ""bu""",https://resources.allsetlearning.com/chinese/grammar/ASGIPYFV
我 哥哥 不 高，但是 很 帅 。,我哥哥不高，但是很帅。,wǒ gēgē bù gāo，dànshì hěn shuài 。,"My brother is not tall, but very handsome.",[sound:hsk1_grammar_sent36.mp3],:: Subj. + 不 + Adj. ::,"Negating, Describing actions, Denying and refusing, Referring to habitual actions, Referring to the present, Referring to the future","Standard negation with ""bu""",https://resources.allsetlearning.com/chinese/grammar/ASGIPYFV
你们 都 认识 John 吗 ？,你们都认识John吗？,nǐmen dū rènshì John ma ？,Do you all know John?,[sound:hsk1_grammar_sent37.mp3],:: Subj. + 都 + [Verb Phrase] ::,"Emphasizing, Expressing quantity","The ""all"" adverb ""dou""",https://resources.allsetlearning.com/chinese/grammar/ASG9YK09
他们 都 在 上海 。,他们都在上海。,tāmen dū zài shànghǎi 。,They are all in Shanghai.,[sound:hsk1_grammar_sent38.mp3],:: Subj. + 都 + [Verb Phrase] ::,"Emphasizing, Expressing quantity","The ""all"" adverb ""dou""",https://resources.allsetlearning.com/chinese/grammar/ASG9YK09
明天 我们 都 可以 去 。,明天我们都可以去。,míngtiān wǒmen dū kěyǐ qù 。,We can all go tomorrow.,[sound:hsk1_grammar_sent39.mp3],:: Subj. + 都 + [Verb Phrase] ::,"Emphasizing, Expressing quantity","The ""all"" adverb ""dou""",https://resources.allsetlearning.com/chinese/grammar/ASG9YK09
